run_id,query_id,query_type,precision_at_10,ndcg_at_10,mean_relevance_at_10,mean_relevance_norm_at_10,high_relevance_rate_at_10,weak_or_irrelevant_rate_at_10,relevant_count_at_10,high_relevance_count_at_10,reciprocal_rank_at_10,high_relevance_reciprocal_rank_at_10,exploration_range_raw,exploration_range_norm,broad_summary_score,field_jaccard_mean_at_10,subfield_jaccard_mean_at_10,field_diversity_at_10,subfield_diversity_at_10,field_subfield_diversity_at_10,venue_pairwise_match_rate_at_10,venue_diversity_count_at_10,mean_citation_count_at_10,mean_reference_count_at_10,pooled_candidate_count,pooled_relevant_count,pooled_relevant_recall_at_10,pooled_high_relevance_recall_at_10,pooled_coverage_at_10,unique_paper_count_at_10,unique_relevant_count_at_10,overlap_jaccard_mean_at_10
andrew,q_018,broad,0.2000,0.6822,0.9000,0.3000,0.0000,0.8000,2,0,0.1667,0.0000,2,0.2500,0.2150,0.5722,0.5870,0.4278,0.4130,0.4204,0.0000,10,5.8000,35.0000,30,15,0.1333,0.0000,0.3333,10,2,0.0000
andrew,q_019,broad,0.9000,0.9124,2.2000,0.7333,0.3000,0.1000,9,3,1.0000,1.0000,4,0.7500,0.8550,0.7104,0.7378,0.2896,0.2622,0.2759,0.0000,10,18.7000,61.0000,29,27,0.3333,0.2308,0.3448,10,9,0.0000
andrew,q_020,broad,0.3000,0.8402,1.3000,0.4333,0.1000,0.7000,3,1,1.0000,0.3333,2,0.2500,0.2850,0.8704,0.8704,0.1296,0.1296,0.1296,0.0278,8,6.5000,33.2000,28,7,0.4286,0.5000,0.3571,9,3,0.0263
andrew,q_021,broad,0.0000,0.6574,0.4000,0.1333,0.0000,1.0000,0,0,0.0000,0.0000,2,0.2500,0.0750,0.6778,0.6593,0.3222,0.3407,0.3315,0.0833,7,8.9000,43.8000,29,11,0.0000,0.0000,0.3448,9,0,0.0263
andrew,q_022,broad,0.7000,0.9029,1.9000,0.6333,0.4000,0.3000,7,4,1.0000,1.0000,3,0.5000,0.6400,0.4833,0.4833,0.5167,0.5167,0.5167,0.0667,5,1.5000,41.5000,27,21,0.3333,0.2667,0.3704,8,5,0.0556
andrew,q_023,broad,0.6000,0.8766,1.8000,0.6000,0.4000,0.4000,6,4,1.0000,1.0000,4,0.7500,0.6450,0.4726,0.6026,0.5274,0.3974,0.4624,0.0000,10,7.7000,47.1000,26,10,0.6000,0.6667,0.3846,6,2,0.1250
andrew,q_024,broad,0.9000,0.8935,2.6000,0.8667,0.7000,0.1000,9,7,1.0000,0.5000,4,0.7500,0.8550,0.6019,0.6019,0.3981,0.3981,0.3981,0.0000,10,7.1000,26.8000,25,18,0.5000,0.5385,0.4000,7,6,0.0882
andrew,q_025,broad,0.6000,0.9205,1.6000,0.5333,0.3000,0.4000,6,3,1.0000,1.0000,4,0.7500,0.6450,0.6333,0.6333,0.3667,0.3667,0.3667,0.0357,7,1.7000,46.0000,27,13,0.4615,0.5000,0.3704,8,4,0.0556
andrew,q_026,broad,0.3000,0.5994,1.1000,0.3667,0.1000,0.7000,3,1,0.5000,0.1250,3,0.5000,0.3600,0.7241,0.7241,0.2759,0.2759,0.2759,0.0278,8,8.4000,37.2000,29,10,0.3000,0.2000,0.3448,9,2,0.0263
andrew,q_027,broad,0.3000,0.6362,1.2000,0.4000,0.1000,0.7000,3,1,0.3333,0.2000,4,0.7500,0.4350,0.6630,0.6630,0.3370,0.3370,0.3370,0.0357,7,4.5000,56.0000,28,4,0.7500,0.5000,0.3571,8,2,0.0556
andrew,q_028,broad,0.3000,0.9096,1.5000,0.5000,0.2000,0.7000,3,2,1.0000,1.0000,4,0.7500,0.4350,0.7185,0.7185,0.2815,0.2815,0.2815,0.0357,7,24.1000,35.1000,28,6,0.5000,0.6667,0.3571,9,2,0.0263
andrew,q_029,broad,0.3000,0.6487,1.2000,0.4000,0.1000,0.7000,3,1,0.5000,0.2000,4,0.7500,0.4350,0.5456,0.5763,0.4544,0.4237,0.4391,0.0000,10,6.1000,48.5000,24,8,0.3750,0.3333,0.4167,7,2,0.1438
andrew,q_030,broad,0.6000,0.8375,1.9000,0.6333,0.3000,0.4000,6,3,1.0000,0.5000,3,0.5000,0.5700,0.5852,0.5611,0.4148,0.4389,0.4269,0.0222,9,53.5000,44.3000,18,10,0.6000,0.4286,0.5556,6,3,0.2132
andrew,q_031,broad,0.4000,0.9195,1.1000,0.3667,0.1000,0.6000,4,1,1.0000,1.0000,2,0.2500,0.3550,0.4133,0.4389,0.5867,0.5611,0.5739,0.0000,8,4.4000,32.4000,25,11,0.3636,0.2500,0.4000,8,2,0.0819
andrew,q_032,broad,0.3000,0.6387,1.4000,0.4667,0.2000,0.7000,3,2,0.2500,0.2500,3,0.5000,0.3600,0.7222,0.7222,0.2778,0.2778,0.2778,0.0278,8,20.8000,30.4000,26,6,0.5000,0.6667,0.3846,7,2,0.0819
andrew,q_033,broad,0.9000,0.8403,2.7000,0.9000,0.8000,0.1000,9,8,0.5000,0.5000,3,0.5000,0.7800,0.6019,0.6019,0.3981,0.3981,0.3981,0.0000,10,5.1000,34.2000,21,18,0.5000,0.5000,0.4762,5,4,0.2132
andrew,q_034,broad,0.0000,0.8316,0.2000,0.0667,0.0000,1.0000,0,0,0.0000,0.0000,1,0.0000,0.0000,0.4415,0.4222,0.5585,0.5778,0.5681,0.0000,9,5.6000,32.4000,29,2,0.0000,0.0000,0.3448,9,0,0.0263
andrew,q_035,broad,0.2000,0.5716,0.6000,0.2000,0.0000,0.8000,2,0,0.2000,0.0000,2,0.2500,0.2150,0.4830,0.5389,0.5170,0.4611,0.4891,0.1071,6,6.8000,39.4000,30,4,0.5000,0.0000,0.3333,10,2,0.0000
andrew,q_036,broad,0.2000,0.4572,0.7000,0.2333,0.1000,0.8000,2,1,0.1667,0.1111,2,0.2500,0.2150,0.5478,0.4763,0.4522,0.5237,0.4880,0.0278,8,7.4000,49.5000,25,6,0.3333,0.5000,0.4000,6,0,0.1250
andrew,q_037,broad,0.2000,0.6180,1.1000,0.3667,0.2000,0.8000,2,2,0.3333,0.3333,3,0.5000,0.2900,0.3519,0.3933,0.6481,0.6067,0.6274,0.1333,7,5.2000,58.1000,29,4,0.5000,0.6667,0.3448,9,1,0.0263
andrew,q_038,broad,0.4000,0.6397,1.6000,0.5333,0.2000,0.6000,4,2,0.2500,0.2000,3,0.5000,0.4300,0.8704,0.9333,0.1296,0.0667,0.0981,0.0278,8,6.0000,29.5000,26,13,0.3077,0.2222,0.3846,6,2,0.1250
andrew,q_039,broad,0.1000,0.8286,0.5000,0.1667,0.0000,0.9000,1,0,0.5000,0.0000,2,0.2500,0.1450,0.4074,0.3944,0.5926,0.6056,0.5991,0.0222,9,6.6000,35.2000,28,6,0.1667,0.0000,0.3571,8,1,0.0556
andrew,q_040,broad,0.8000,0.9454,2.3000,0.7667,0.5000,0.2000,8,5,1.0000,1.0000,4,0.7500,0.7850,0.6389,0.6978,0.3611,0.3022,0.3317,0.0000,10,6.0000,55.2000,27,15,0.5333,0.5000,0.3704,8,6,0.0556
andrew,q_041,broad,0.0000,0.6319,0.4000,0.1333,0.0000,1.0000,0,0,0.0000,0.0000,2,0.2500,0.0750,0.4333,0.4544,0.5667,0.5456,0.5561,0.0000,10,2.3000,24.5000,28,9,0.0000,0.0000,0.3571,9,0,0.0263
andrew,q_042,broad,0.8000,0.9578,2.6000,0.8667,0.8000,0.2000,8,8,1.0000,1.0000,4,0.7500,0.7850,0.9000,1.0000,0.1000,0.0000,0.0500,0.0000,10,7.7000,33.9000,20,11,0.7273,0.8000,0.5000,3,2,0.3025
andrew,q_043,broad,0.4000,0.9232,1.8000,0.6000,0.4000,0.6000,4,4,1.0000,1.0000,3,0.5000,0.4300,0.5359,0.5359,0.4641,0.4641,0.4641,0.0667,8,17.2000,28.7000,23,7,0.5714,0.5714,0.4348,7,2,0.1146
andrew,q_044,broad,0.2000,0.8373,0.7000,0.2333,0.0000,0.8000,2,0,1.0000,0.0000,2,0.2500,0.2150,0.4822,0.5204,0.5178,0.4796,0.4987,0.2778,5,23.2000,33.3000,28,5,0.4000,,0.3571,10,2,0.0000
andrew,q_045,broad,0.4000,0.8078,1.3000,0.4333,0.0000,0.6000,4,0,0.3333,0.0000,4,0.7500,0.5050,0.5926,0.6148,0.4074,0.3852,0.3963,0.1071,6,1.0000,34.3000,25,8,0.5000,,0.4000,7,2,0.1146
andrew,q_046,broad,0.9000,0.8347,2.5000,0.8333,0.6000,0.1000,9,6,1.0000,0.3333,4,0.7500,0.8550,0.8704,0.8704,0.1296,0.1296,0.1296,0.0000,9,3.8000,33.1000,27,23,0.3913,0.6000,0.3704,8,7,0.0819
andrew,q_047,broad,0.4000,0.7653,1.5000,0.5000,0.1000,0.6000,4,1,0.5000,0.5000,3,0.5000,0.4300,0.6593,0.6593,0.3407,0.3407,0.3407,0.0667,8,12.2000,39.9000,23,8,0.5000,1.0000,0.4348,3,2,0.2692
andrew,q_048,broad,0.5000,0.6842,1.9000,0.6333,0.4000,0.5000,5,4,0.3333,0.3333,4,0.7500,0.5750,0.9333,0.9333,0.0667,0.0667,0.0667,0.0000,9,5.0000,32.6000,28,14,0.3571,0.5000,0.3571,9,4,0.0263
andrew,q_049,broad,0.2000,0.6959,1.0000,0.3333,0.0000,0.8000,2,0,0.1250,0.0000,2,0.2500,0.2150,0.5874,0.6259,0.4126,0.3741,0.3933,0.0000,9,6.5000,45.9000,29,14,0.1429,0.0000,0.3448,9,2,0.0263
andrew,q_050,broad,0.0000,0.8603,0.3000,0.1000,0.0000,1.0000,0,0,0.0000,0.0000,1,0.0000,0.0000,0.5074,0.5074,0.4926,0.4926,0.4926,0.0000,10,8.8000,46.0000,28,5,0.0000,0.0000,0.3571,8,0,0.0556
andrew,q_051,specific,0.1000,0.8899,0.4000,0.1333,0.0000,0.9000,1,0,1.0000,0.0000,,,,0.5711,0.5907,0.4289,0.4093,0.4191,0.0278,8,3.9000,45.6000,30,1,1.0000,,0.3333,10,1,0.0000
andrew,q_052,specific,0.0000,0.7904,0.2000,0.0667,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.7815,0.7667,0.2185,0.2333,0.2259,0.0278,8,21.3000,35.5000,28,1,0.0000,,0.3571,10,0,0.0000
andrew,q_053,specific,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.5063,0.5259,0.4937,0.4741,0.4839,0.0000,9,3.8000,36.4000,30,1,0.0000,,0.3333,10,0,0.0000
andrew,q_054,specific,0.2000,0.8642,0.8000,0.2667,0.0000,0.8000,2,0,1.0000,0.0000,,,,0.4111,0.4248,0.5889,0.5752,0.5820,0.0000,10,76.2000,73.7000,27,4,0.5000,,0.3704,7,1,0.0882
andrew,q_055,specific,0.3000,0.7168,1.4000,0.4667,0.1000,0.7000,3,1,0.3333,0.3333,,,,0.6630,0.6630,0.3370,0.3370,0.3370,0.0667,8,3.5000,35.7000,23,6,0.5000,1.0000,0.4348,4,0,0.2406
andrew,q_056,specific,0.0000,0.8503,0.5000,0.1667,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.4856,0.4426,0.5144,0.5574,0.5359,0.0222,9,7.7000,67.5000,27,2,0.0000,0.0000,0.3704,7,0,0.0882
andrew,q_057,specific,0.1000,0.7864,1.1000,0.3667,0.0000,0.9000,1,0,0.1111,0.0000,,,,0.6519,0.6519,0.3481,0.3481,0.3481,0.0000,10,16.4000,36.5000,21,2,0.5000,0.0000,0.4762,4,0,0.2500
andrew,q_058,specific,0.0000,0.4790,0.3000,0.1000,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.5593,0.5537,0.4407,0.4463,0.4435,0.0278,8,5.0000,43.8000,25,1,0.0000,0.0000,0.4000,6,0,0.1513
andrew,q_059,specific,0.0000,0.4556,0.2000,0.0667,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.4222,0.4452,0.5778,0.5548,0.5663,0.0000,8,13.5000,53.3000,28,0,,,0.3571,9,0,0.0526
andrew,q_060,specific,0.0000,0.9877,0.6000,0.2000,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.4415,0.5389,0.5585,0.4611,0.5098,0.0000,6,1.8000,40.4000,25,1,0.0000,,0.4000,6,0,0.1250
andrew,q_061,specific,0.4000,0.8695,1.3000,0.4333,0.1000,0.6000,4,1,1.0000,0.5000,,,,0.6259,0.7222,0.3741,0.2778,0.3259,0.0222,9,4.7000,35.5000,21,5,0.8000,1.0000,0.4762,4,0,0.3025
andrew,q_062,specific,0.1000,0.9835,0.9000,0.3000,0.1000,0.9000,1,1,1.0000,1.0000,,,,0.7759,0.8074,0.2241,0.1926,0.2083,0.0222,9,5.2000,43.5000,26,1,1.0000,1.0000,0.3846,9,0,0.0263
andrew,q_063,specific,0.0000,0.9052,0.4000,0.1333,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.5333,0.5667,0.4667,0.4333,0.4500,0.0000,9,4.9000,36.8000,27,0,,,0.3704,7,0,0.0882
andrew,q_064,specific,0.2000,0.5638,0.8000,0.2667,0.1000,0.8000,2,1,0.2500,0.1429,,,,0.4904,0.5259,0.5096,0.4741,0.4919,0.0833,7,6.2000,34.7000,28,2,1.0000,1.0000,0.3571,8,0,0.0556
andrew,q_065,specific,0.1000,0.9558,0.7000,0.2333,0.1000,0.9000,1,1,1.0000,1.0000,,,,0.5037,0.5037,0.4963,0.4963,0.4963,0.0000,9,5.5000,33.4000,25,1,1.0000,1.0000,0.4000,6,0,0.1513
andrew,q_066,specific,0.0000,0.4911,0.2000,0.0667,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.5889,0.5889,0.4111,0.4111,0.4111,0.1667,6,32.7000,46.6000,26,1,0.0000,0.0000,0.3846,8,0,0.0556
andrew,q_067,specific,0.1000,0.6610,0.5000,0.1667,0.0000,0.9000,1,0,0.1667,0.0000,,,,0.7370,0.7370,0.2630,0.2630,0.2630,0.0833,7,5.0000,48.6000,26,2,0.5000,,0.3846,7,0,0.0882
andrew,q_068,specific,0.1000,0.7344,0.8000,0.2667,0.0000,0.9000,1,0,0.1111,0.0000,,,,0.6019,0.7370,0.3981,0.2630,0.3306,0.0833,7,7.4000,37.3000,27,2,0.5000,0.0000,0.3704,7,1,0.0882
andrew,q_069,specific,0.2000,0.7298,1.2000,0.4000,0.2000,0.8000,2,2,0.5000,0.5000,,,,0.6778,0.6778,0.3222,0.3222,0.3222,0.0000,8,4.1000,41.2000,28,5,0.4000,0.5000,0.3571,9,1,0.0526
andrew,q_070,specific,0.0000,0.6309,0.1000,0.0333,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.6593,0.6593,0.3407,0.3407,0.3407,0.0833,7,4.9000,41.4000,29,2,0.0000,,0.3448,9,0,0.0263
andrew,q_071,specific,0.1000,0.6398,0.8000,0.2667,0.0000,0.9000,1,0,0.1667,0.0000,,,,0.8222,1.0000,0.1778,0.0000,0.0889,0.0278,8,17.6000,37.2000,25,4,0.2500,0.0000,0.4000,6,0,0.1513
andrew,q_072,specific,0.1000,0.7962,0.6000,0.2000,0.0000,0.9000,1,0,0.5000,0.0000,,,,0.6037,0.6000,0.3963,0.4000,0.3981,0.0000,9,9.2000,31.7000,26,1,1.0000,,0.3846,6,0,0.1250
andrew,q_073,specific,0.2000,0.4308,0.7000,0.2333,0.1000,0.8000,2,1,0.2000,0.1111,,,,0.5030,0.5300,0.4970,0.4700,0.4835,0.0000,10,4.7000,26.8000,28,2,1.0000,1.0000,0.3571,8,0,0.0556
andrew,q_074,specific,0.0000,1.0000,0.6000,0.2000,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.5296,0.5296,0.4704,0.4704,0.4704,0.0000,10,4.9000,46.0000,25,0,,,0.4000,6,0,0.1513
andrew,q_075,specific,0.0000,0.8070,0.3000,0.1000,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.5148,0.5148,0.4852,0.4852,0.4852,0.1111,6,6.3000,45.7000,27,0,,,0.3704,8,0,0.0556
andrew,q_076,specific,0.1000,0.7034,0.6000,0.2000,0.0000,0.9000,1,0,0.5000,0.0000,,,,0.6444,0.6444,0.3556,0.3556,0.3556,0.0357,7,5.4000,42.3000,28,4,0.2500,,0.3571,8,0,0.0556
andrew,q_077,specific,0.3000,0.9045,1.5000,0.5000,0.2000,0.7000,3,2,1.0000,1.0000,,,,0.7111,0.7111,0.2889,0.2889,0.2889,0.1667,6,4.2000,32.2000,27,4,0.7500,1.0000,0.3704,7,2,0.0882
andrew,q_078,specific,0.0000,0.3869,0.1000,0.0333,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.4844,0.4778,0.5156,0.5222,0.5189,0.0000,9,11.9000,52.6000,30,1,0.0000,,0.3333,10,0,0.0000
andrew,q_079,specific,0.0000,0.6005,0.3000,0.1000,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.4544,0.6444,0.5456,0.3556,0.4506,0.0222,9,18.5000,42.5000,28,2,0.0000,0.0000,0.3571,8,0,0.0556
andrew,q_080,specific,0.1000,0.6196,0.7000,0.2333,0.1000,0.9000,1,1,0.3333,0.3333,,,,0.6593,0.6593,0.3407,0.3407,0.3407,0.0278,8,19.1000,47.0000,22,4,0.2500,0.3333,0.4545,6,0,0.1438
andrew,q_081,specific,0.0000,0.7762,0.7000,0.2333,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.6815,0.6407,0.3185,0.3593,0.3389,0.0000,10,47.1000,45.9000,27,0,,,0.3704,7,0,0.0882
andrew,q_082,specific,0.1000,0.6626,1.1000,0.3667,0.1000,0.9000,1,1,0.2500,0.2500,,,,0.7370,0.7370,0.2630,0.2630,0.2630,0.0833,7,8.0000,49.8000,27,1,1.0000,1.0000,0.3704,7,0,0.0882
andrew,q_083,specific,0.0000,0.7328,0.3000,0.1000,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.4922,0.5000,0.5078,0.5000,0.5039,0.0278,8,6.5000,37.0000,29,0,,,0.3448,9,0,0.0263
andrew,q_084,specific,0.1000,0.6043,0.9000,0.3000,0.1000,0.9000,1,1,0.3333,0.3333,,,,0.6785,0.6785,0.3215,0.3215,0.3215,0.0000,9,17.6000,52.5000,27,1,1.0000,1.0000,0.3704,8,0,0.0556
andrew,q_085,specific,0.0000,0.8797,0.4000,0.1333,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.7667,0.7667,0.2333,0.2333,0.2333,0.1333,7,6.3000,32.3000,28,0,,,0.3571,9,0,0.0526
andrew,q_086,specific,0.0000,0.5000,0.2000,0.0667,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.6174,0.6778,0.3826,0.3222,0.3524,0.1667,6,6.7000,39.7000,29,1,0.0000,0.0000,0.3448,9,0,0.0263
andrew,q_087,specific,0.2000,0.6003,0.9000,0.3000,0.1000,0.8000,2,1,0.5000,0.1429,,,,0.6130,0.6204,0.3870,0.3796,0.3833,0.2222,6,41.3000,42.9000,26,3,0.6667,1.0000,0.3846,7,1,0.0882
andrew,q_088,specific,0.2000,0.6813,1.1000,0.3667,0.2000,0.8000,2,2,0.5000,0.5000,,,,0.5556,0.5556,0.4444,0.4444,0.4444,0.0000,9,5.8000,43.9000,23,11,0.1818,0.4000,0.4348,8,0,0.0819
andrew,q_089,specific,0.1000,0.9928,0.8000,0.2667,0.1000,0.9000,1,1,1.0000,1.0000,,,,0.6259,0.5815,0.3741,0.4185,0.3963,0.0278,8,9.5000,39.0000,26,1,1.0000,1.0000,0.3846,6,0,0.1146
andrew,q_090,specific,0.1000,0.9172,0.4000,0.1333,0.0000,0.9000,1,0,1.0000,0.0000,,,,0.7019,0.7019,0.2981,0.2981,0.2981,0.0222,9,37.0000,52.1000,28,3,0.3333,0.0000,0.3571,8,0,0.0556
andrew,q_091,specific,0.1000,0.6718,0.5000,0.1667,0.0000,0.9000,1,0,0.5000,0.0000,,,,0.5119,0.5056,0.4881,0.4944,0.4913,0.0000,7,12.0000,48.4000,24,5,0.2000,0.0000,0.4167,7,0,0.1438
andrew,q_092,specific,0.3000,0.5854,0.9000,0.3000,0.3000,0.7000,3,3,0.5000,0.5000,,,,0.5452,0.5685,0.4548,0.4315,0.4431,0.0000,8,5.3000,34.2000,26,5,0.6000,1.0000,0.3846,8,1,0.0556
andrew,q_093,specific,0.0000,0.7439,0.4000,0.1333,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.5556,0.6185,0.4444,0.3815,0.4130,0.0278,8,92.1000,52.9000,25,1,0.0000,0.0000,0.4000,8,0,0.0556
andrew,q_094,specific,0.2000,0.6605,1.0000,0.3333,0.0000,0.8000,2,0,0.1250,0.0000,,,,0.6081,0.6081,0.3919,0.3919,0.3919,0.0000,9,2.3000,27.0000,27,4,0.5000,0.0000,0.3704,8,2,0.0819
andrew,q_095,specific,0.2000,0.5604,0.9000,0.3000,0.1000,0.8000,2,1,0.5000,0.1667,,,,0.5704,0.5704,0.4296,0.4296,0.4296,0.0278,8,23.1000,38.7000,29,2,1.0000,1.0000,0.3448,9,1,0.0263
andrew,q_096,specific,0.1000,0.4120,0.7000,0.2333,0.1000,0.9000,1,1,0.1111,0.1111,,,,0.6593,0.6593,0.3407,0.3407,0.3407,0.0278,8,11.8000,36.5000,27,2,0.5000,0.5000,0.3704,7,1,0.0882
andrew,q_097,specific,0.1000,0.6265,0.5000,0.1667,0.0000,0.9000,1,0,0.1667,0.0000,,,,0.7074,0.7630,0.2926,0.2370,0.2648,0.0000,10,6.5000,36.7000,26,2,0.5000,,0.3846,8,1,0.0556
andrew,q_098,specific,0.0000,0.5013,0.2000,0.0667,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.4852,0.4685,0.5148,0.5315,0.5231,0.0000,7,5.4000,50.4000,28,2,0.0000,0.0000,0.3571,9,0,0.0263
andrew,q_099,specific,0.1000,0.6935,0.6000,0.2000,0.0000,0.9000,1,0,0.1429,0.0000,,,,0.7370,0.7370,0.2630,0.2630,0.2630,0.0476,6,14.8000,38.0000,29,1,1.0000,,0.3448,9,1,0.0263
andrew,q_100,specific,0.0000,0.2891,0.1000,0.0333,0.0000,1.0000,0,0,0.0000,0.0000,,,,0.6593,0.7370,0.3407,0.2630,0.3019,0.0222,9,136.6000,47.9000,26,4,0.0000,0.0000,0.3846,6,0,0.1250
